,Date,Open*,High,Low,Close**,Volume,Market Cap,price
1587,2017-09-01,4701.76,4892.01,4678.53,4892.01,2599079936.0,77748371456,4701.76
1588,2017-09-02,4901.42,4975.04,4469.24,4578.77,2722139904.0,81060601856,4901.42
1589,2017-09-03,4585.27,4714.08,4417.59,4582.96,1933190016.0,75841708032,4585.27
1590,2017-09-04,4591.63,4591.63,4108.4,4236.31,2987330048.0,75955544064,4591.63
1591,2017-09-05,4228.29,4427.84,3998.11,4376.53,2697969920.0,69954437120,4228.29
1592,2017-09-06,4376.59,4617.25,4376.59,4597.12,2172100096.0,72418721792,4376.59
1593,2017-09-07,4589.14,4655.04,4491.33,4599.88,1844620032.0,75944968192,4589.14
1594,2017-09-08,4605.16,4661.0,4075.18,4228.75,2700890112.0,76220227584,4605.16
1595,2017-09-09,4229.81,4308.82,4114.11,4226.06,1386230016.0,70017155072,4229.81
1596,2017-09-10,4229.34,4245.44,3951.04,4122.94,1679090048.0,70018088960,4229.34
1597,2017-09-11,4122.47,4261.67,4099.4,4161.27,1557330048.0,68256038912,4122.47
1598,2017-09-12,4168.88,4344.65,4085.22,4130.81,1864530048.0,69033369600,4168.88
1599,2017-09-13,4131.98,4131.98,3789.92,3882.59,2219409920.0,68432248832,4131.98
1600,2017-09-14,3875.37,3920.6,3153.86,3154.95,2716310016.0,64191565824,3875.37
1601,2017-09-15,3166.3,3733.45,2946.62,3637.52,4148069888.0,52453515264,3166.3
1602,2017-09-16,3637.75,3808.84,3487.79,3625.04,1818400000.0,60271636480,3637.75
1603,2017-09-17,3606.28,3664.81,3445.64,3582.88,1239149952.0,59757817856,3606.28
1604,2017-09-18,3591.09,4079.23,3591.09,4065.2,1943209984.0,59514085376,3591.09
1605,2017-09-19,4073.79,4094.07,3868.87,3924.97,1563980032.0,67520266240,4073.79
1606,2017-09-20,3916.36,4031.39,3857.73,3905.95,1213830016.0,64918507520,3916.36
1607,2017-09-21,3901.47,3916.42,3613.63,3631.04,1411480064.0,64677552128,3901.47
1608,2017-09-22,3628.02,3758.27,3553.53,3630.7,1194829952.0,60152250368,3628.02
1609,2017-09-23,3629.92,3819.21,3594.58,3792.4,928113984.0,60190023680,3629.92
1610,2017-09-24,3796.15,3796.15,3666.9,3682.84,768014976.0,62954283008,3796.15
1611,2017-09-25,3681.58,3950.25,3681.58,3926.07,1374210048.0,61061095424,3681.58
1612,2017-09-26,3928.41,3969.89,3869.9,3892.35,1043740032.0,65161023488,3928.41
1613,2017-09-27,3892.94,4210.05,3884.82,4200.67,1686880000.0,64579231744,3892.94
1614,2017-09-28,4197.13,4279.31,4109.7,4174.73,1712320000.0,69633212416,4197.13
1615,2017-09-29,4171.62,4214.63,4039.29,4163.07,1367049984.0,69219221504,4171.62
1616,2017-09-30,4166.11,4358.43,4160.86,4338.71,1207449984.0,69136629760,4166.11
1617,2017-10-01,4341.05,4403.74,4269.81,4403.74,1208210048.0,72047304704,4341.05
1618,2017-10-02,4395.81,4470.23,4377.46,4409.32,1431730048.0,72963194880,4395.81
1619,2017-10-03,4408.46,4432.47,4258.89,4317.48,1288019968.0,73181331456,4408.46
1620,2017-10-04,4319.37,4352.31,4210.42,4229.36,1116770048.0,71712522240,4319.37
1621,2017-10-05,4229.88,4362.64,4164.05,4328.41,1161769984.0,70233686016,4229.88
1622,2017-10-06,4324.46,4413.27,4320.53,4370.81,1069939968.0,71810605056,4324.46
1623,2017-10-07,4369.35,4443.88,4321.05,4426.89,906928000.0,72565055488,4369.35
1624,2017-10-08,4429.67,4624.14,4405.64,4610.48,1313869952.0,73575424000,4429.67
1625,2017-10-09,4614.52,4878.71,4564.25,4772.02,1968739968.0,76656467968,4614.52
